Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;05.05.2022;1;9241;100;24;24;0;0;100;8710;531;151;141;216;23;23;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;05.05.2022;2;9203;100;24;24;0;0;100;8671;532;144;151;211;26;26;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;05.05.2022;Totalt i retning Kvaløya;9241;100;24;24;0;0;100;8710;531;151;141;216;23;23;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;05.05.2022;Totalt i retning Tromsø;9203;100;24;24;0;0;100;8671;532;144;151;211;26;26;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-05T00:00+02:00;2022-05-06T00:00+02:00;05.05.2022;Totalt;18444;100;24;24;0;0;100;17381;1063;295;292;427;49;49;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;06.05.2022;1;9020;100;24;24;0;0;100;8515;505;122;171;202;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;06.05.2022;2;8869;100;24;24;0;1;99,99;8368;500;123;158;207;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;06.05.2022;Totalt i retning Kvaløya;9020;100;24;24;0;0;100;8515;505;122;171;202;10;10;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;06.05.2022;Totalt i retning Tromsø;8869;100;24;24;0;1;99,99;8368;500;123;158;207;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-06T00:00+02:00;2022-05-07T00:00+02:00;06.05.2022;Totalt;17889;100;24;24;0;1;99,99;16883;1005;245;329;409;22;22;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;07.05.2022;1;6618;100;24;24;0;0;100;6414;204;57;42;102;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;07.05.2022;2;6539;100;24;24;0;0;100;6340;199;44;45;107;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;07.05.2022;Totalt i retning Kvaløya;6618;100;24;24;0;0;100;6414;204;57;42;102;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;07.05.2022;Totalt i retning Tromsø;6539;100;24;24;0;0;100;6340;199;44;45;107;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-07T00:00+02:00;2022-05-08T00:00+02:00;07.05.2022;Totalt;13157;100;24;24;0;0;100;12754;403;101;87;209;6;6;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;08.05.2022;1;5369;100;24;24;0;0;100;5202;167;29;50;86;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;08.05.2022;2;5634;100;24;24;0;0;100;5457;177;35;58;84;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;08.05.2022;Totalt i retning Kvaløya;5370;100;24;24;0;0;100;5203;167;29;50;86;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;08.05.2022;Totalt i retning Tromsø;5633;100;24;24;0;0;100;5456;177;35;58;84;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-08T00:00+02:00;2022-05-09T00:00+02:00;08.05.2022;Totalt;11003;100;24;24;0;0;100;10659;344;64;108;170;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;09.05.2022;1;9022;100;24;24;0;0;100;8486;536;138;173;204;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;09.05.2022;2;9003;100;24;24;0;0;100;8480;523;126;174;203;20;20;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;09.05.2022;Totalt i retning Kvaløya;9022;100;24;24;0;0;100;8486;536;138;173;204;21;21;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;09.05.2022;Totalt i retning Tromsø;9003;100;24;24;0;0;100;8480;523;126;174;203;20;20;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-09T00:00+02:00;2022-05-10T00:00+02:00;09.05.2022;Totalt;18025;100;24;24;0;0;100;16966;1059;264;347;407;41;41;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;10.05.2022;1;9009;100;24;24;0;1;99,99;8448;560;137;184;215;24;24;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;10.05.2022;2;9020;100;24;24;0;0;100;8467;553;135;183;211;24;24;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;10.05.2022;Totalt i retning Kvaløya;9009;100;24;24;0;1;99,99;8448;560;137;184;215;24;24;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-05-10T00:00+02:00;2022-05-11T00:00+02:00;10.05.2022;Totalt i retning Tromsø;9020;100;24;24;0;0;100;8467;553;135;183;211;24;24;0
